icao	lat	lon	type	size	fuel	name
GVAC	16.7414	-22.9494	civil	4786	1	Amilcar Cabral, Sal, Cape Verde
GVBA	16.1364	-22.8886	civil	1226	0	Rabil, Rabil, Cape Verde
GVFM	14.9244	-23.4933	civil	1287	0	Francisco Mendes, Praia, Cape Verde
GVMA	15.1558	-23.2136	civil	1205	0	Maio, Maio, Cape Verde
GVMT	15.045	-24.34	civil	732	0	Mosteiros, Mosteiros, Cape Verde
GVSF	14.885	-24.48	civil	1402	1	Sao Filipe, Sao Filipe, Cape Verde
GVSN	16.5881	-24.2839	civil	1406	0	Preguica, Preguica, Cape Verde
GVSV	16.8339	-25.0567	civil	1464	1	Sao Pedro, Sao Pedro, Cape Verde
GX01	38.6133	21.3833	civil	1200	0	Agrinion, Agrinion, Greece
GX04	37.095	21.99	civil	1200	0	Triodhon, Kalamata, Greece
H000	30.595	32.2417	military	1230	0	Al Ismailiyah AB, Abu Suwayr, Egypt
H04	36.6181	-95.1478	civil	995	0	Vinita Mun, Vinita, Oklahoma, United States
H05	34.9195	-95.3947	civil	914	0	Wilburton Mun, Wilburton, Oklahoma, United States
H07	38.7792	-89.6376	civil	811	0	Highland-Winet, Highland, Illinois, United States
H11	40.9131	-76.733	water	999	0	Sunbury, Sunbury, Pennsylvania, United States
H17	37.6542	-93.0877	civil	980	0	Buffalo Mun, Buffalo, Missouri, United States
H19	39.3699	-91.2193	civil	976	0	Bowling Green Mun, Bowling Green, Missouri, United States
H20	37.1467	-94.3133	civil	1561	0	Myers Park Meml Muni, Carthage, Missouri, United States
H21	37.9747	-92.6916	civil	1046	0	Camdenton Meml, Camdenton, Missouri, United States
H27	36.6126	-92.3999	civil	1079	0	Gainesville Meml, Gainesville, Missouri, United States
H28	49	-112.793	civil	1353	0	Whetstone Intl, Port Of Del Bonita, Montana, United States
H30	42.8438	-75.5614	civil	1524	0	Hamilton Mun, Hamilton, New York, United States
H34	36.0782	-93.7548	civil	1490	0	Huntsville Mun, Huntsville, Arkansas, United States
H35	35.4707	-93.4272	civil	1372	0	Clarksville Mun, Clarksville, Arkansas, United States
H41	39.1575	-91.8183	civil	2650	0	Mexico Meml, Mexico, Missouri, United States
H45	35.2747	-96.6752	civil	2135	0	Seminole Mun, Seminole, Oklahoma, United States
H49	38.4506	-90.2359	civil	747	0	Sackman, Columbia, Illinois, United States
H57	37.7542	-90.6168	civil	625	0	Bismarck Meml, Bismarck, Missouri, United States
H58	37.1834	-92.7335	civil	1337	0	Owen, Seymour, Missouri, United States
H63	40.0431	-99.2509	water	999	1	Harlan County Lake, Alma, Nebraska, United States
H66	36.7209	-95.6253	civil	1506	0	Nowata Mun, Nowata, Oklahoma, United States
H68	35.9627	-95.3418	civil	1785	0	Wagoner Mun, Wagoner, Oklahoma, United States
H70	36.6542	-93.7974	civil	579	0	Timber Line Airpark, Cassville, Missouri, United States
H71	36.2254	-95.3301	civil	1525	0	Mid-America Industrial, Pryor, Oklahoma, United States
H75	34.7982	-90.037	civil	1018	0	Hernando Village Airpark Inc, Hernando, Mississippi, United States
H76	36.6717	-96.4056	civil	975	0	Pawhuska Mun, Pawhuska, Oklahoma, United States
H79	38.3606	-92.5716	civil	1006	0	Eldon Model, Eldon, Missouri, United States
H80	44.365	-83.7625	civil	732	0	Field Of Dreams, Hale, Michigan, United States
H88	37.6058	-90.2873	civil	1220	0	Fredericktown Regl, Fredericktown, Missouri, United States
H92	36.4334	-96.3836	civil	978	0	Hominy Mun, Hominy, Oklahoma, United States
H96	38.0067	-88.9344	civil	830	0	Benton Mun, Benton, Illinois, United States
H97	36.3834	-96.8103	civil	1244	0	Pawnee Mun, Pawnee, Oklahoma, United States
HAAB	8.97863	38.7983	civil	7500	1	Bole Intl, Addis Abeba, Ethiopia
HAAD	7.05	39.4	civil	2103	0	Adaba, Adaba, Ethiopia
HAAL	9	38.7333	military	1728	0	Lideta Army, Addis Ababa, Ethiopia
HAAM	6.06667	37.6667	civil	1219	0	Arba Minch, Arba Minch, Ethiopia
HAAX	14.1167	38.7167	civil	1600	1	Axum, Axum, Ethiopia
HABC	5.78333	36.55	civil	1116	0	Baco, Baco, Ethiopia
HABD	11.5833	37.3167	civil	2943	1	Bahir Dar, Bahir Dar, Ethiopia
HABE	9.35	34.5167	civil	1331	1	Beica, Beica, Ethiopia
HADA	13.7667	36.9833	civil	1500	1	Dansha, Dansha, Ethiopia
HADC	11.0833	39.7167	civil	1098	0	Combolcha, Dessie, Ethiopia
HADD	8.58333	34.8833	civil	1158	0	Dembi Dollo, Dembi Dollo, Ethiopia
HADM	10.3333	37.7667	civil	1377	0	Debre Marcos, Debre Marcos, Ethiopia
HADR	9.61425	41.8599	civil	2689	1	A.T.D. Yilma Intl, Dire Dawa, Ethiopia
HADT	11.9667	38	civil	1275	0	Debre Tabor, Debre Tabor, Ethiopia
HAFN	9.58333	37.35	civil	1500	1	Fincha, Fincha, Ethiopia
HAGB	7.11667	40.0333	civil	2000	1	Robe, Goba, Ethiopia
HAGH	7.15	40.7167	civil	1200	0	Ghinnir, Ghinnir, Ethiopia
HAGM	8.135	34.5683	civil	2520	1	Gambella, Gambella, Ethiopia
HAGN	12.5333	37.4333	civil	2500	0	Azezo, Gonder, Ethiopia
HAGR	8.16667	35.55	civil	1198	0	Gore, Gore, Ethiopia
HAHM	8.71564	39.0081	civil	3083	1	Harar Meda, Harar Meda, Ethiopia
HAHU	14.25	36.5833	civil	1114	0	Humera, Humera, Ethiopia
HAIM	6.46667	42.1167	civil	1066	1	Imi, Imi, Ethiopia
HAJM	7.66667	36.8333	civil	2044	1	Aba Segud, Jimma, Ethiopia
HAKD	6.75	44.2667	civil	1800	1	Kebri Dehar, Kebri Dehar, Ethiopia
HAKL	5.6	44.3333	civil	1200	1	Kalafo East, Kalafo, Ethiopia
HALA	7.25	38.5	civil	1200	0	Awasa, Awasa, Ethiopia
HALL	12.0167	39.0667	civil	1500	1	Lalibella, Lalibella, Ethiopia
HAMA	10.75	38.7667	civil	1500	1	Mekane Salam, Mekane Salam, Ethiopia
HAMJ	5.83333	35.5667	civil	1387	1	Tume, Maji, Ethiopia
HAMK	13.4733	39.5182	civil	5001	1	Alula Aba Nega, Mekele, Ethiopia
HAML	6.35	39.7833	civil	1200	0	Masslo, Masslo, Ethiopia
HAMM	12.9333	36.1667	civil	1200	0	Metema, Metema, Ethiopia
HAMN	9.76667	35.1	civil	1250	0	Mendi, Mendi, Ethiopia
HAMT	6.96667	35.5333	civil	1263	0	Mizan Teferi, Mizan Teferi, Ethiopia
HANJ	9.55	35.4667	civil	1200	0	Nejjo, Nejjo, Ethiopia
